mesh_idx,mesh_name,sphere_obj,target_obj,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
21,mesh_00021,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00021\mesh_00021.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7334200260078023,0.7949412827461608,0.0009761370063039599,18,18,17
22,mesh_00022,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00022\mesh_00022.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7334200260078023,0.8003605227579991,0.0009833877775484526,18,18,17
23,mesh_00023,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00023\mesh_00023.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7341717259323504,0.7935076645626691,0.0010101312118395713,18,18,17
24,mesh_00024,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00024\mesh_00024.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7341717259323504,0.798463624039765,0.000995297218150892,18,18,17
25,mesh_00025,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00025\mesh_00025.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7337380745880312,0.8051653828726778,0.000973513096347715,18,18,17
26,mesh_00026,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00026\mesh_00026.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7337380745880312,0.7879333633498424,0.0009821966778631277,18,18,17
27,mesh_00027,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00027\mesh_00027.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.734259661311333,0.8037087290818634,0.000981651609426464,18,18,17
28,mesh_00028,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00028\mesh_00028.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7451838879159369,0.8036199095022625,0.0010047086185404298,18,18,17
29,mesh_00029,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00029\mesh_00029.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7547169811320755,0.8157058556513844,0.0009907227306671512,18,18,17
30,mesh_00030,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00030\mesh_00030.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7646540326134861,0.8279816513761468,0.0009988724240296478,18,18,17
31,mesh_00031,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00031\mesh_00031.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7802491103202847,0.839392544868845,0.0010004051085148434,18,18,17
32,mesh_00032,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00032\mesh_00032.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7965038099506948,0.8503900871959614,0.0009671034096960305,18,18,17
33,mesh_00033,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00033\mesh_00033.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8208616780045351,0.8656785548865216,0.0010152548146919733,18,18,17
34,mesh_00034,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00034\mesh_00034.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.835990888382688,0.8856742883807747,0.0009912540159021106,18,17,17
35,mesh_00035,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00035\mesh_00035.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8482758620689655,0.9042000943841435,0.0009846247263834524,18,17,17
36,mesh_00036,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00036\mesh_00036.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8717472118959108,0.916351606805293,0.0008947906743927913,17,17,17
37,mesh_00037,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00037\mesh_00037.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8928404305100608,0.9232227488151659,0.0008221739511194058,17,17,17
38,mesh_00038,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00038\mesh_00038.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.9029080675422139,0.9359158297465328,0.0007704227219350459,17,17,17
39,mesh_00039,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00039\mesh_00039.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.9087917254348848,0.9406698564593301,0.0006836859042656683,17,17,17
40,mesh_00040,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00040\mesh_00040.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.9133301931229393,0.9481517042726836,0.0006645594867080901,17,17,17
