mesh_idx,mesh_name,target_obj,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
16,mesh_00016,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00016\mesh_00016.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00016,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00016\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005095041501013988,0.7387679481241315,0.8865461847389559,0.001033537777803771,18,18,17
17,mesh_00017,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00017\mesh_00017.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00017,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00017\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005204326355544489,0.7286555446516192,0.8752665245202559,0.0010322625500343442,17,17,16
18,mesh_00018,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00018\mesh_00018.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00018,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00018\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005161265881314447,0.7216642754662841,0.8512609366958311,0.0009660310327376156,18,17,17
19,mesh_00019,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00019\mesh_00019.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00019,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00019\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005105445414564579,0.7060717571297148,0.8765120967741935,0.0009583413027122661,18,18,17
20,mesh_00020,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00020\mesh_00020.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00020,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00020\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005061365655110425,0.7102678571428571,0.871219512195122,0.0010094152365874517,18,18,17
21,mesh_00021,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00021\mesh_00021.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00021,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00021\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005120597985357228,0.7014305491462852,0.8682483594144371,0.0009476368301256883,18,18,17
22,mesh_00022,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00022\mesh_00022.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00022,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00022\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005099710235847232,0.7095588235294118,0.8637724550898204,0.0009875614355014132,18,18,16
23,mesh_00023,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00023\mesh_00023.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00023,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00023\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005129325691849528,0.7152875175315568,0.8809766022380467,0.0010231167053097066,18,18,16
24,mesh_00024,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00024\mesh_00024.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00024,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00024\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005189997217001507,0.712632594021215,0.8673629242819844,0.0009588802551414171,18,17,16
25,mesh_00025,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00025\mesh_00025.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00025,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00025\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.00511539229548554,0.7046082949308756,0.8638426626323752,0.0008969101657758817,18,18,16
