mesh_idx,mesh_name,target_obj,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
6,mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006\mesh_00006.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00006\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005037374348221383,0.926923076923077,0.9763895720609936,0.0004953302845029666,17,17,17
7,mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007\mesh_00007.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00007\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005041955856773823,0.9095260890378172,0.9597842079450711,0.000642867988372744,17,17,17
8,mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008\mesh_00008.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00008\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.00509205864822134,0.8946594806467418,0.959493670886076,0.0006459664946618331,17,17,16
9,mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009\mesh_00009.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00009\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005045214285942462,0.8814285714285715,0.9471106758080313,0.0007007148028155489,17,17,17
10,mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010\mesh_00010.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00010\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005062078772286902,0.8510436432637571,0.9378727634194831,0.0008052311737260429,17,17,17
11,mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011\mesh_00011.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00011\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005155960595259554,0.850620347394541,0.9539025667888947,0.0006782776452780498,17,17,16
12,mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012\mesh_00012.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00012\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005109754971083326,0.8239234449760765,0.9461108286731063,0.0007635887112794721,17,17,17
13,mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013\mesh_00013.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00013\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005120458342074598,0.8177434908389586,0.9305273833671399,0.0008167813656907093,17,17,16
14,mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014\mesh_00014.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00014\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005139659829852547,0.7977799227799228,0.920594262295082,0.0008048169703561368,17,17,16
15,mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015\mesh_00015.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals50\mesh_00015\evals_50_iter299.ply,299,50,300,10,100000,2.0,0.02,250000000,0.005129997262185333,0.785645933014354,0.9135739705134723,0.0007735857099233669,18,17,17
