mesh_idx,mesh_name,nevals,target_dir,target_obj,init_kind,init_path,results_step_dir,recon_ply,used_iter,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
6,mesh_00006,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006\mesh_00006.obj,dir,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00006\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.0050984456324246275,0.9313432835820895,0.974059003051882,0.0004954363974708179,17,17,16
7,mesh_00007,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007\mesh_00007.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00006\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00007\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005030720854540631,0.9104335397808481,0.966780654616512,0.0006385859715644581,17,18,17
8,mesh_00008,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008\mesh_00008.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00007\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00008\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005183432741212598,0.8860824742268041,0.96411355115158,0.0006633157954792507,17,17,16
9,mesh_00009,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009\mesh_00009.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00008\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00009\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005171885722072911,0.8793893129770992,0.9589989350372737,0.000713332062517538,17,17,16
10,mesh_00010,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010\mesh_00010.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00009\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00010\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005097441310655363,0.8694593278129567,0.9493670886075949,0.0007158666128186543,17,17,16
11,mesh_00011,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011\mesh_00011.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00010\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00011\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005143661998817611,0.8607784431137725,0.9483028720626632,0.0007332134252869103,17,17,16
12,mesh_00012,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012\mesh_00012.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00011\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00012\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005090555871890586,0.8422562141491395,0.9416792357968828,0.0007729896524315935,17,17,16
13,mesh_00013,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013\mesh_00013.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00012\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00013\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005155018159588597,0.8258510113468179,0.9322916666666666,0.0007476958263235534,17,17,16
14,mesh_00014,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014\mesh_00014.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00013\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00014\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005132750541996847,0.8131386861313868,0.9250897896357106,0.0007883270612119459,17,17,16
15,mesh_00015,50,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015\mesh_00015.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00014\evals_50_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_50\mesh_00015\evals_50_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005174163233206837,0.7870461236506379,0.9174118884797475,0.0007993550564333488,17,17,16
